Unnamed: 0,ID,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,nombre_completo,carnet,INGRESO,LIMIT_BAL
4000,4001,2,1,2,29,2,-1,-1,-1,2,0,2030.0,1533.0,3897.0,4675.862363176787,4081.0,3686.0,1533.0,951.6843787225304,3275.987757244489,0.0,155.0,96.0,Marcela Juana Aguayo,98462754,4223.7,14020.0
4001,4002,2,1,1,29,-1,-1,-2,-1,-1,-1,1778.0,0.0,0.0,150.0,150.0,989.0,0.0,0.0,150.0,150.0,99.97894809115124,0.0,Aurora Barraza,14328872,6346.6,23291.0
4002,4003,1,1,1,35,0,0,0,0,0,0,12887.039391094318,18011.457906226722,26361.06273626916,10290.918461905723,16284.952015828669,25829.822294592217,8500.0,6000.0,4000.0,25000.0,50000.0,70000.0,Rolando Granado,75530347,6964.1,30093.0
4003,4004,1,3,2,25,0,0,2,0,0,-1,4434.373054340441,8158.018159920408,11892.081363381682,5739.503915661951,7382.0,12304.02281410706,7504.0,29.0,10004.0,6.0,6956.705099098323,18129.0,José Manuél Federico de la Torre,38174626,2823.3,13633.0
4004,4005,2,1,1,38,0,-1,-1,-1,-1,-1,12907.0,316.0,1156.0,316.0,316.0,316.0,316.0,299.4179739065504,316.0,280.75156893464464,316.0,163.85491189602658,Sra. Cecilia Vergara,70501586,7347.6,32834.0
4005,4006,2,3,1,42,-1,-1,-1,-1,-1,-1,7162.02941123703,637.0,11869.0,7312.0,1868.0,1470.0,637.0,510.8266722489015,7314.0,2274.0,1470.0,922.742425556595,Francisca María del Carmen Valenzuela,30653554,4832.1,16784.0
4006,4007,1,3,2,46,2,2,3,3,3,3,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,Mariano Carrión,8132961,5842.8,18950.0
4007,4008,2,3,2,24,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,2483.0,0.0,0.0,0.0,0.0,2483.0,0.0,80.0,Dra. Sandra Fuentes,62037612,2292.3,9649.0
4008,4009,2,2,2,24,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karina Barela Jasso,51782435,2128.5,8117.0
4009,4010,1,2,2,47,0,0,0,0,0,0,20101.033094690138,25321.46575961853,25134.606793157527,24769.0,23029.0,23495.0,3956.0,1365.0,848.0,1000.0,1000.0,1000.0,Francisco Óscar Villagómez Collado,13085358,7057.6,34385.0
